Species,specimen_identifier,individual_or_pop,number,mass,notes,date
Sorghastrum_nutans,TP_KW-6,TP_KW,6,0.0042134,,5-Apr-22
Sorghastrum_nutans,TP_KW-7,TP_KW,7,0.0050292,,5-Apr-22
Sorghastrum_nutans,TP_KW-8,TP_KW,8,0.0046097,,5-Apr-22
Sorghastrum_nutans,TP_KW-9,TP_KW,9,0.0040592,,5-Apr-22
Sorghastrum_nutans,TP_KW-10,TP_KW,10,0.0033462,,5-Apr-22
Thelepogon_elegans,TK257-1,TK257,1,0.0067613,,7-Apr-21
Thelepogon_elegans,TK257-2,TK257,2,0.0077707,,7-Apr-21
Thelepogon_elegans,TK257-3,TK257,3,0.0071951,,7-Apr-21
Thelepogon_elegans,TK257-4,TK257,4,0.0070364,,7-Apr-21
Thelepogon_elegans,TK257-5,TK257,5,0.0061671,,7-Apr-21
Thelepogon_elegans,TK257-6,TK257,6,0.0090055,,7-Apr-21
Thelepogon_elegans,TK257-7,TK257,7,0.005935,,7-Apr-21
Thelepogon_elegans,TK257-8,TK257,8,0.0075983,,7-Apr-21
Thelepogon_elegans,TK257-9,TK257,9,0.008987,,7-Apr-21
Thelepogon_elegans,TK257-10,TK257,10,0.007981,,7-Apr-21
Thelepogon_elegans,TK257-11,TK257,11,0.0067341,,7-Apr-21
Thelepogon_elegans,TK257-12,TK257,12,0.0073051,,7-Apr-21
Thelepogon_elegans,TK257-13,TK257,13,0.0061893,,7-Apr-21
Thelepogon_elegans,TK257-14,TK257,14,0.0063418,,7-Apr-21
Thelepogon_elegans,TK257-15,TK257,15,0.0062476,,7-Apr-21
Thelepogon_elegans,TK257-16,TK257,16,0.0078491,,7-Apr-21
Thelepogon_elegans,TK257-17,TK257,17,0.0065775,,7-Apr-21
Thelepogon_elegans,TK257-18,TK257,18,0.0072499,,7-Apr-21
Thelepogon_elegans,TK257-19,TK257,19,0.0069517,,7-Apr-21
Thelopogon_elegans,TK257-20,TK257,20,0.0074823,,7-Apr-21
Themeda_triandra,TK504-1,TK504,1,0.0049767,,6-Apr-21
Themeda_triandra,TK504-2,TK504,2,0.003513,,6-Apr-21
Themeda_triandra,TK504-3,TK504,3,0.0062618,,6-Apr-21
Themeda_triandra,TK504-4,TK504,4,0.0046422,,6-Apr-21
Themeda_triandra,TK504-5,TK504,5,0.0043218,,6-Apr-21
Themeda_triandra,TK504-6,TK504,6,0.0070862,,6-Apr-21
Themeda_triandra,TK504-7,TK504,7,0.006381,,6-Apr-21
Themeda_triandra,TK504-8,TK504,8,0.0053483,,6-Apr-21
Themeda_triandra,TK504-9,TK504,9,0.00504,,6-Apr-21
Themeda_triandra,TK504-10,TK504,10,0.0041483,,6-Apr-21
Themeda_triandra,TK504-11,TK504,11,0.0060564,,6-Apr-21
Themeda_triandra,TK504-12,TK504,12,0.0084682,,6-Apr-21
Themeda_triandra,TK504-13,TK504,13,0.0045698,,6-Apr-21
Themeda_triandra,TK504-14,TK504,14,0.0065606,,6-Apr-21
Themeda_triandra,TK504-15,TK504,15,0.0052606,,6-Apr-21
Tripsacum_dactyloides,McKain-334-5-1,McKain-334-5,1,0.116333,,16-Aug-21
Tripsacum_dactyloides,McKain-334-5-2,McKain-334-5,2,0.1291922,,16-Aug-21
Tripsacum_dactyloides,McKain-334-5-3,McKain-334-5,3,0.1509053,,16-Aug-21
Tripsacum_dactyloides,McKain-334-5-4,McKain-334-5,4,0.132702,,16-Aug-21
Tripsacum_dactyloides,McKain-334-5-5,McKain-334-5,5,0.120086,,16-Aug-21
Tripsacum_dactyloides,McKain-334-5-6,McKain-334-5,6,0.1454579,,16-Aug-21
Tripsacum_dactyloides,McKain-334-5-7,McKain-334-5,7,0.1559774,,16-Aug-21
Tripsacum_dactyloides,McKain-334-5-8,McKain-334-5,8,0.1559164,,16-Aug-21
Tripsacum_dactyloides,McKain-334-5-9,McKain-334-5,9,0.164577,,16-Aug-21
Tripsacum_dactyloides,McKain-334-5-10,McKain-334-5,10,0.1558009,,16-Aug-21
Zea_mays_ssp._parviglumis,Teosinte,,1,0.0348943,Beadle-ElSalada-1,
Zea_mays_ssp._parviglumis,Teosinte,,2,0.036886,Beadle-ElSalada-2,
Zea_mays_ssp._parviglumis,Teosinte,,3,0.0389505,Beadle-ElSalada-3,
Zea_mays_ssp._parviglumis,Teosinte,,4,0.0347425,Beadle-ElSalada-4,
Zea_mays_ssp._parviglumis,Teosinte,,5,0.0182238,Beadle-ElSalada-5,
Zea_mays_ssp._parviglumis,Teosinte,,6,0.0540592,Beadle-ElSalada-6,
Zea_mays_ssp._parviglumis,Teosinte,,7,0.0517803,Beadle-ElSalada-7,
Zea_mays_ssp._parviglumis,Teosinte,,8,0.038814,Beadle-ElSalada-8,
Zea_mays_ssp._parviglumis,Teosinte,,9,0.0205484,Beadle-ElSalada-9,
Zea_mays_ssp._parviglumis,Teosinte,,10,0.0277813,Beadle-ElSalada-10,
